Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Tamar Slay,2002,53,78.75,NA,83.5,104,38,32.5,203,NA,NA,NA,11,10.94,3.09
Randy Foye,2006,7,74.25,75.25,78.25,97,38,32,212,10,NA,NA,14,10.53,3.23
Elvin Mims,2002,NA,76.25,,85.5,105.5,38,32,211,NA,NA,NA,7,11.17,3.22
Chris Paul,2005,4,71.75,73,76.25,93,38,32,178,NA,NA,NA,10,11.09,3.22
Jordan Bell,2017,38,79,80.5,83.75,104.5,38,31.5,223.6,5.4,9.25,9.5,16,10.63,3.21
Wayne Ellington,2009,28,76.25,77.25,78.5,100,38,31.5,202.4,5.5,NA,NA,13,11.14,3.2
Damyean Dotson,2017,44,76.5,77.5,81,100,38,31.5,205.2,5.3,8.5,9.25,13,11.18,3.13
Charlie Bell,2001,NA,74.5,,79.5,97.5,38,31.5,200,6.7,NA,NA,15,10.59,3.12
Kevin Huerter,2018,19,78.25,79.25,79.5,101.5,38,31,194,8.6,8.25,8.5,9,10.89,3.09
Jerryd Bayless,2008,11,73.75,75,75.5,97,38,31,204,4.7,NA,NA,10,11.26,3.07
Nick George,2006,NA,76,77.75,82,103,38,30.5,201,6,NA,NA,14,11.69,3.25
Malik Hairston,2008,48,76.25,77.25,81,103.5,38,30.5,204,6.9,NA,NA,13,11.33,3.08
Terrance Ferguson,2017,21,77.5,79,80.75,103,38,28.5,184.4,5.8,8.5,10,NA,11.16,3.32
Stanley Robinson,2010,59,78.5,79.75,84,107.5,37.5,NA,213.2,8.3,9,9,6,11.65,3.23
Trenton Hassell,2001,29,76.25,NA,80,99.5,37.5,35.5,205,5.3,NA,NA,12,11.57,3.29
Maurice Evans,2001,NA,76.25,,80,101,37.5,34.5,221,4,NA,NA,22,10.08,3.12
Jermaine Taylor,2009,32,75.5,76.75,80.75,101,37.5,34,207.4,5.8,NA,NA,16,11.54,3.32
George Hill,2008,26,73.25,74.5,81,97.5,37.5,34,181,3,NA,NA,9,12.2,3.07
Jason Smith,2007,20,82.75,83.5,82.75,106,37.5,33.5,233,7.5,NA,NA,15,10.96,3.29
Damone Thornton,2001,NA,78.75,,85.75,103.75,37.5,33.5,235,8,NA,NA,19,11.17,3.2
